name,value,similarity,value_rank,similarity_rank
Fe1.96Ti0.04O3,0.04224856,0.8921505808830261,158.0,112.0
SrNb0.15Ti0.85O3,0.041526869,0.9004092216491699,159.0,64.0
Ni2.0Mo6S8,0.039452953,0.9001321792602539,160.0,67.0
Fe1.96Sn0.04O3,0.038917217,0.905308187007904,161.0,22.0
Sr1.6La0.4Nb2O7,0.038163333,0.896681010723114,162.0,91.0
Fe0.998Co0.002Si2,0.037881951,0.8705389499664307,163.0,162.0
CuCr0.95Mg0.05O2,0.037136033,0.8953636884689331,164.0,94.0
Ca0.7Y0.3MnO3,0.0340102,0.8989524841308594,165.0,77.0
Ca0.9Nd0.1MnO3,0.03329024,0.9054630994796753,166.0,21.0
CuCr0.96Mg0.04O2,0.03041577,0.9031082987785339,167.0,39.0
BaPbO3,0.029357635,0.828204333782196,168.0,183.0
Li0.0066Ni0.9944O,0.02826674,0.9112226963043213,169.0,7.0
K2Bi8Se13,0.027669081,0.8002830147743225,170.0,193.0
La0.98Sr0.02CoO3,0.026234732,0.8877905011177063,171.0,127.0
Fe0.978Co0.00196Si1.96Y0.12O0.18,0.0225,0.9228686690330505,172.0,1.0
ZrNi0.76Co0.004Cu0.2Sn,0.018352111,0.9093884229660034,173.0,12.0
Li0.0024Ni0.9976O,0.017497599,0.9033796787261963,174.0,38.0
La0.99Sr0.01CoO3,0.016495189,0.8871021270751953,175.0,129.0
Mo3Te4,0.014946413,0.8603933453559875,176.0,166.0
CuCr0.98Mg0.02O2,0.014529805,0.9048892855644226,177.0,26.0
Tl2GeTe5,0.011610217,0.8578129410743713,178.0,168.0
Mo6Te7S,0.011602871,0.8443349599838257,179.0,173.0
Nd2CuO4,0.011049908,0.8317545652389526,180.0,180.0
CuCr0.99Mg0.01O2,0.01097686,0.9020416140556335,181.0,52.0
La0.8Sr0.2CoO3,0.00788839,0.8942440748214722,182.0,105.0
Nd2Cu0.98Ni0.02O4,0.007630344,0.8879079818725586,183.0,124.0
Mo6Te6S2,0.006182272,0.8521865606307983,184.0,169.0
CuCrO2,0.00617642,0.8502657413482666,185.0,170.0
Nd2Cu0.98Zn0.02O4,0.005420334,0.8867273330688477,186.0,132.0
Sr4.5Nb4.5O15.5,0.003877551,0.8886988759040833,187.0,121.0
Sm0.5Ca0.5MnO3,0.001753013,0.8849504590034485,188.0,137.0
ZnO,0.000749156,0.8793038129806519,189.0,156.0
Sm1.7Ca0.3MnO3,0.000528343,0.8870046734809875,190.0,130.0
LaCoO3,0.000314602,0.8590320348739624,191.0,167.0
KBi6.33S10,8.74126e-05,0.9027790427207947,192.0,46.0
Tl2Cu2SnTe4,7.28576e-05,0.8139355182647705,193.0,191.0
TlTiPS5,6.76443e-08,0.8482069969177246,194.0,172.0
Ni0.02Zn0.98O,0.0,0.8979387283325195,196.0,85.0
Al0.02Zn0.98O,0.0,0.8980631828308105,196.0,84.0
Zn0.9604Al0.0196Ni0.02O,0.0,0.9108346104621887,196.0,8.0
