name,value,similarity,value_rank,similarity_rank
YZnAsO,52.0171431779999,0.8183422684669495,141.0,6663.0
NaTaO3,51.7850541520956,0.8402380347251892,142.0,5120.0
AuBe,51.60060728848218,0.7803568243980408,143.0,8324.0
Sr2CdWO6,51.379929288817046,0.7455006241798401,144.0,9013.0
CeMg,51.26363873387015,0.897868812084198,145.0,1399.0
Li2AgSb,51.07,0.8105761408805847,146.0,7107.0
LaSO,50.99167320088757,0.8933557271957397,147.0,1613.0
U3Si,50.880097441360654,0.8956313729286194,148.0,1507.0
CeTe,50.51964759506018,0.88481205701828,149.0,2023.0
PbBr2,50.51882191333723,0.7774384617805481,150.0,8403.0
LaSrZnNbO6,50.41,0.8344663977622986,151.0,5570.0
Ge3As4,50.34979875939556,0.8479064702987671,152.0,4536.0
Si3N4,50.30977646011068,0.995000958442688,153.0,239.0
LiBC,50.24902974533688,0.8663958311080933,154.0,3095.0
KNbO3,50.19836053591242,0.8167759776115417,155.0,6760.0
SnBi2Te4,50.18,0.7929990887641907,156.0,7894.0
uranium,50.040353062811526,0.9995035529136658,157.0,195.0
CaAs,50.028431744445896,0.831351101398468,158.0,5787.0
CdTe,50.01064069844934,0.9699429273605347,159.0,248.0
C3N4,49.86082345672081,0.9997182488441467,160.0,148.0
MoGe2,49.75722088580561,0.7566984295845032,161.0,8859.0
Sb2Te3,49.74,0.8286153078079224,162.0,5972.0
CuBr,49.57983659255157,0.8138367533683777,163.0,6936.0
SnSe,49.35256986381688,0.9004091024398804,164.0,1278.0
Pt3Mo1,49.33051190571771,0.8431573510169983,165.0,4906.0
Sr2FeMoO6,49.27571134130631,0.7772039175033569,166.0,8408.0
PbSe,49.22,0.9999400973320007,167.0,27.0
CuAsSe2,49.15520037044729,0.7702351808547974,168.0,8583.0
Se,49.15,0.9993586540222168,169.0,203.0
CU1,48.80595960484896,0.881131112575531,170.0,2201.0
